<pad> day math tutor head life <eos>
<pad> wanted day decided home back <eos>
<pad> park day game good team <eos>
<pad> day wanted decided thought home <eos>
<pad> play day game won proud <eos>
<pad> fair money rides lot home <eos>
<pad> dog day shelter home run <eos>
<pad> dinner day decided fruit home <eos>
<pad> diet hungry weight ate goal <eos>
<pad> wanted day couch eventually run <eos>
<pad> house key locked door home <eos>
<pad> dog day home shelter dogs <eos>
<pad> dreamed dream day night sleep <eos>
<pad> day wanted decided thought home <eos>
<pad> car house set home <eos> damage
<pad> job day work doctor home <eos>
<pad> day decided finally back home <eos>
<pad> soup restaurant bowl decided time <eos>
<pad> night day decided mom home <eos>
<pad> truck money day back home <eos>
<pad> james ball air hit home <eos>
<pad> day wanted decided thought home <eos>
<pad> rainy sunny rained rain weather <eos>
<pad> restaurant menu food decided home <eos>
<pad> today nervous day girl home <eos>
<pad> show wanted day performance wait <eos>
<pad> park day clean spilled home <eos>
<pad> dad father back hospital <eos> twins
<pad> pregnant doctor day hospital happy <eos>
<pad> day wanted decided home back <eos>
<pad> job applied jobs sales earned <eos>
<pad> wanted decided day glad home <eos>
<pad> camping packed set night wait <eos>
<pad> wanted day decided home back <eos>
<pad> essay wrote write day paper <eos>
<pad> mail mailbox mailman day <eos> send
<pad> tom sleep decided day home <eos>
<pad> dog shelter find owner home <eos>
<pad> wife day decided mom left <eos>
<pad> lulu excited day nervous happy <eos>
<pad> wine bottle stop glass home <eos>
<pad> day wanted decided home back <eos>
<pad> woke morning sleep work rest <eos>
<pad> sam sudden fell leg back <eos>
<pad> bills pay paid told bill <eos>
<pad> cat missing find searched angry <eos>
<pad> work late overslept warning time <eos>
<pad> play played match game team <eos>
<pad> day decided put home make <eos>
<pad> pants wear tight pair happy <eos>
<pad> donuts money decided work home <eos>
<pad> day wanted started home back <eos>
<pad> car day decided home man <eos>
<pad> kitten cat mother finally adopt <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided run home <eos>
<pad> day wanted decided home back <eos>
<pad> man day decided made left <eos>
<pad> keys house car home find <eos>
<pad> scale day started put back <eos>
<pad> watch friends night time home <eos>
<pad> shot shoot ball shots team <eos>
<pad> swim water day bottle drank <eos>
<pad> concert town tickets end time <eos>
<pad> list day remember lot made <eos>
<pad> wanted things airport time trip <eos>
<pad> mall phone set found back <eos>
<pad> max day decided student teacher <eos>
<pad> john wind day home kite <eos>
<pad> day wanted decided thought home <eos>
<pad> tom day room put home <eos>
<pad> girl wanted day eventually happy <eos>
<pad> day wanted decided put home <eos>
<pad> walk rain rained continue wet <eos>
<pad> swim pool lake water decided <eos>
<pad> dance excited day time line <eos>
<pad> dog day home shelter dogs <eos>
<pad> cat day cats home back <eos>
<pad> bees stung bee day home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> pregnant doctor baby hospital happy <eos>
<pad> paris excited lots lot fun <eos>
<pad> wanted day decided back left <eos>
<pad> car drive hurt accident driver <eos>
<pad> night sleep work hour turned <eos>
<pad> day doctor foot home rest <eos>
<pad> pen day letter lot home <eos>
<pad> cat litter mouse day rescued <eos>
<pad> weight pounds decided day gym <eos>
<pad> beach kayak boat water glad <eos>
<pad> wanted friends decided time home <eos>
<pad> wanted decided day time home <eos>
<pad> paint color store painted decided <eos>
<pad> day wanted decided home back <eos>
<pad> marathon race run months day <eos>
<pad> dog day school year home <eos>
<pad> car street put tom home <eos>
<pad> pasta made decided cooked burned <eos>
<pad> wanted decided day ate home <eos>
<pad> doctor day allergic allergies hospital <eos>
<pad> tom sleep doctor night <eos> spilled
<pad> feeling doctor medicine sick vet <eos>
<pad> caffeine day coffee put made <eos>
<pad> day wanted decided thought home <eos>
<pad> day wanted decided thought home <eos>
<pad> game play team games won <eos>
<pad> park kids day home time <eos>
<pad> cat pet day cats home <eos>
<pad> elevator car day work tom <eos>
<pad> wanted day decided finally email <eos>
<pad> work rent traffic closed time <eos>
<pad> hunting shoot day shot glad <eos>
<pad> house kids haunted day family <eos>
<pad> class school day semester back <eos>
<pad> forest house suddenly rain soaked <eos>
<pad> grass day cut back fired <eos>
<pad> day wanted decided thought home <eos>
<pad> drink water spilled kitchen <eos> stain
<pad> chair fixed fell stained fix <eos>
<pad> park suddenly pulled storm home <eos>
<pad> town money food truck home <eos>
<pad> car cast loved bought happy <eos>
<pad> dog dogs shelter find home <eos>
<pad> car drive lot finally trip <eos>
<pad> cook beans cooked tasted home <eos>
<pad> wanted day desk found back <eos>
<pad> gina needed asked found home <eos>
<pad> nervous recital audience stage made <eos>
<pad> hungry fridge decided hunger food <eos>
<pad> lunch eat food ate home <eos>
<pad> day decided made lot home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted decided day asked man <eos>
<pad> car day decided found home <eos>
<pad> build wanted day decided home <eos>
<pad> pool friends decided day fun <eos>
<pad> house asked decided number home <eos>
<pad> sale items lot made happy <eos>
<pad> girl nervous kiss kissed end <eos>
<pad> dinner ingredients food ate home <eos>
<pad> lamp noticed put day home <eos>
<pad> river water day rain <eos> went
<pad> day wanted decided thought home <eos>
<pad> day wanted decided thought home <eos>
<pad> dinner food decided tasted eating <eos>
<pad> shop store shopping cart home <eos>
<pad> day wanted started decided happy <eos>
<pad> cold hot warm day home <eos>
<pad> zoo animals kids monkeys happy <eos>
<pad> job applied application interview work <eos>
<pad> mall shop store shopping home <eos>
<pad> washer put wash clothes dryer <eos>
<pad> lunch bag eat walk food <eos>
<pad> taxi day car eventually home <eos>
<pad> job jewelry day work home <eos>
<pad> day wanted decided thought home <eos>
<pad> wanted day secret made happy <eos>
<pad> house suddenly fell night back <eos>
<pad> shoes shoe find found home <eos>
<pad> prom hair day gum it <eos>
<pad> doll wanted day mom happy <eos>
<pad> trip day lot finally home <eos>
<pad> john day suddenly home back <eos>
<pad> phone dropped screen pieces fix <eos>
<pad> park baseball ball hit day <eos>
<pad> wanted baseball game ball team <eos>
<pad> day wanted decided home back <eos>
<pad> car spot neighbor doctor home <eos>
<pad> bag noticed found back returned <eos>
<pad> date asked dinner agreed end <eos>
<pad> dinner boss decided work food <eos>
<pad> money decided started day home <eos>
<pad> glasses feared wore put glad <eos>
<pad> job day looked found home <eos>
<pad> wanted friends decided time <eos> smile
<pad> school day class lot proud <eos>
<pad> horses horse scared ran home <eos>
<pad> gina day started lot lost <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided hour home <eos>
<pad> phone dropped broken screen found <eos>
<pad> rug needed finally store it <eos>
<pad> tom day clean back left <eos>
<pad> car suddenly sky damage storm <eos>
<pad> day started lot put home <eos>
<pad> deer road pull car home <eos>
<pad> car drive price fix tom <eos>
<pad> york wanted excited move happy <eos>
<pad> wanted doctor day back home <eos>
<pad> day wanted decided home back <eos>
<pad> molly day decided mom home <eos>
<pad> job pay work day home <eos>
<pad> friends decided day made home <eos>
<pad> day wanted decided thought home <eos>
<pad> day wanted decided home back <eos>
<pad> school pink day word life <eos>
<pad> day wanted decided home back <eos>
<pad> phone dropped phones screen ground <eos>
<pad> day wanted decided thought home <eos>
<pad> squirrel leash ran squirrels home <eos>
<pad> friend day decided man found <eos>
<pad> day wanted decided home back <eos>
<pad> aquarium fish tank caught home <eos>
<pad> day wanted decided home back <eos>
<pad> business worked decided work made <eos>
<pad> walk house home block back <eos>
<pad> house day door decided home <eos>
<pad> york visit finally trip happy <eos>
<pad> york city move finally happy <eos>
<pad> wanted day decided hard home <eos>
<pad> tom started meeting phone fired <eos>
<pad> dog find shelter looked home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> trip day lot finally home <eos>
